dataset,file,layer,batch_id,request_class,address,bytes,producer_ready_cycle,enqueue_cycle,first_issue_cycle,completion_cycle
citeseer,paper_paper_gcn_citeseer_latency-aware_independent_sparse-on_coord-on_seed-1.json,1,0,output,1703424,212928,12597,12597,12597,13441
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,0,intermediate_write,53111808,4194304,72775,72775,697690,714098
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,1,intermediate_write,57306112,4194304,139771,139771,714074,730482
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,2,intermediate_write,61500416,4194304,201776,201776,730458,746866
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,3,intermediate_write,65694720,4194304,265796,265796,746842,763250
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,4,intermediate_write,69889024,4194304,320598,320598,763226,779634
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,5,intermediate_write,74083328,4194304,387926,387926,779610,796018
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,6,intermediate_write,78277632,4194304,448317,448317,795994,812402
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,7,intermediate_write,82471936,4194304,505419,505419,812378,828786
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,8,intermediate_write,86666240,4194304,567665,567665,828762,845170
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,9,intermediate_write,90860544,4194304,621614,621614,845146,861554
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,10,intermediate_write,95054848,4194304,672112,672112,861530,877938
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,11,intermediate_write,99249152,4194304,704351,704351,877914,894322
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,0,intermediate_read,53111808,4194304,714098,894322,894322,910718
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,1,intermediate_read,57306112,4194304,730482,894322,910706,927102
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,2,intermediate_read,61500416,4194304,746866,894322,927090,943486
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,3,intermediate_read,65694720,4194304,763250,894322,943474,959870
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,4,intermediate_read,69889024,4194304,779634,894322,959858,976254
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,5,intermediate_read,74083328,4194304,796018,894322,976242,992638
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,6,intermediate_read,78277632,4194304,812402,894322,992626,1009022
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,7,intermediate_read,82471936,4194304,828786,894322,1009010,1025406
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,8,intermediate_read,86666240,4194304,845170,894322,1025394,1041790
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,9,intermediate_read,90860544,4194304,861554,894322,1041778,1058174
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,10,intermediate_read,95054848,4194304,877938,894322,1058162,1074558
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,11,intermediate_read,99249152,4194304,894322,894322,1074546,1090942
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,0,output,49399296,144384,1630427,1630427,1630427,1631003
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,1,output,49543680,144384,1630427,1630427,1630991,1631567
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,2,output,49688064,144384,1630427,1630427,1631555,1632131
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,3,output,49832448,144384,1630427,1630427,1632119,1632695
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,4,output,49976832,144384,1630427,1630427,1632683,1633259
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,5,output,50121216,144384,1630427,1630427,1633247,1633823
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,6,output,50265600,144384,1630427,1630427,1633811,1634387
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,7,output,50409984,144384,1630427,1630427,1634375,1634951
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,8,output,50554368,144384,1630427,1630427,1634939,1635515
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,9,output,50698752,144384,1630427,1630427,1635503,1636079
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,10,output,50843136,144384,1630427,1630427,1636067,1636643
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,0,11,output,50987520,115200,1630427,1630427,1636631,1637093
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,1,0,intermediate_write,2032192,4194304,11157,11157,11157,27553
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,1,0,intermediate_read,2032192,4194304,27553,27553,27553,43949
citeseer,paper_paper_gcn_citeseer_sequential_independent_sparse-on_coord-on_seed-1.json,1,0,output,1703424,212928,45389,45389,45389,46233
cora,paper_paper_gcn_cora_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,0,output,15598080,372736,258104,258104,754734,773220
cora,paper_paper_gcn_cora_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,1,output,15970816,372736,462927,462927,759728,778214
cora,paper_paper_gcn_cora_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,2,output,16343552,372736,659475,659475,765176,783662
cora,paper_paper_gcn_cora_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,3,output,16716288,268288,808844,808844,808844,812870
cora,paper_paper_gcn_cora_latency-aware_independent_sparse-on_coord-off_seed-1.json,1,0,output,1386496,173312,26945,26945,26945,29681
cora,paper_paper_gcn_cora_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,0,output,15598080,372736,115122,115122,216446,217960
cora,paper_paper_gcn_cora_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,1,output,15970816,372736,172933,172933,217902,219416
cora,paper_paper_gcn_cora_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,2,output,16343552,372736,229103,229103,229103,230571
cora,paper_paper_gcn_cora_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,3,output,16716288,268288,262370,262370,262370,263430
cora,paper_paper_gcn_cora_latency-aware_independent_sparse-on_coord-on_seed-1.json,1,0,output,1386496,173312,11491,11491,11491,12181
cora,paper_paper_gcn_cora_sequential_independent_sparse-on_coord-on_seed-1.json,0,0,intermediate_write,17835328,4194304,69046,69046,216446,232898
cora,paper_paper_gcn_cora_sequential_independent_sparse-on_coord-on_seed-1.json,0,1,intermediate_write,22029632,4194304,126857,126857,232830,249282
cora,paper_paper_gcn_cora_sequential_independent_sparse-on_coord-on_seed-1.json,0,2,intermediate_write,26223936,4194304,183027,183027,249214,265666
cora,paper_paper_gcn_cora_sequential_independent_sparse-on_coord-on_seed-1.json,0,3,intermediate_write,30418240,4194304,224247,224247,265598,282050
cora,paper_paper_gcn_cora_sequential_independent_sparse-on_coord-on_seed-1.json,0,0,intermediate_read,17835328,4194304,232898,282050,282050,298458
cora,paper_paper_gcn_cora_sequential_independent_sparse-on_coord-on_seed-1.json,0,1,intermediate_read,22029632,4194304,249282,282050,298434,314842
cora,paper_paper_gcn_cora_sequential_independent_sparse-on_coord-on_seed-1.json,0,2,intermediate_read,26223936,4194304,265666,282050,314818,331226
cora,paper_paper_gcn_cora_sequential_independent_sparse-on_coord-on_seed-1.json,0,3,intermediate_read,30418240,4194304,282050,282050,331202,347610
cora,paper_paper_gcn_cora_sequential_independent_sparse-on_coord-on_seed-1.json,0,0,output,15598080,372736,518024,518024,518024,519492
cora,paper_paper_gcn_cora_sequential_independent_sparse-on_coord-on_seed-1.json,0,1,output,15970816,372736,518024,518024,519480,520948
cora,paper_paper_gcn_cora_sequential_independent_sparse-on_coord-on_seed-1.json,0,2,output,16343552,372736,518024,518024,520936,522404
cora,paper_paper_gcn_cora_sequential_independent_sparse-on_coord-on_seed-1.json,0,3,output,16716288,268288,518024,518024,522392,523452
cora,paper_paper_gcn_cora_sequential_independent_sparse-on_coord-on_seed-1.json,1,0,intermediate_write,1680384,4194304,10192,10192,10192,26588
cora,paper_paper_gcn_cora_sequential_independent_sparse-on_coord-on_seed-1.json,1,0,intermediate_read,1680384,4194304,26588,26588,26588,42984
cora,paper_paper_gcn_cora_sequential_independent_sparse-on_coord-on_seed-1.json,1,0,output,1386496,173312,44283,44283,44283,44973
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,0,output,40380416,1048576,551855,551855,4808178,4856048
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,1,output,41428992,1048576,1047121,1047121,4822706,4870576
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,2,output,42477568,1048576,1537086,1537086,4837234,4885104
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,3,output,43526144,1048576,2016713,2016713,4851762,4899632
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,4,output,44574720,1048576,2503540,2503540,4866290,4914160
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,5,output,45623296,1048576,2998077,2998077,4880818,4928688
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,6,output,46671872,1048576,3484686,3484686,4895346,4943216
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,7,output,47720448,1048576,3977903,3977903,4909874,4957744
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,8,output,48769024,1048576,4457489,4457489,4924402,4972272
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-off_seed-1.json,0,9,output,49817600,657920,4879994,4879994,4938930,4981352
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-off_seed-1.json,1,0,output,10095104,524288,162558,162558,427044,437586
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-off_seed-1.json,1,1,output,10619392,524288,307738,307738,434308,444850
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-off_seed-1.json,1,2,output,11143680,213312,437353,437353,441572,447574
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,0,output,40380416,1048576,198811,198811,1367414,1371592
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,1,output,41428992,1048576,337739,337739,1371510,1375688
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,2,output,42477568,1048576,474982,474982,1375606,1379784
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,3,output,43526144,1048576,611915,611915,1379702,1383880
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,4,output,44574720,1048576,749838,749838,1383798,1387976
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,5,output,45623296,1048576,891181,891181,1387894,1392072
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,6,output,46671872,1048576,1026994,1026994,1391990,1396168
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,7,output,47720448,1048576,1165821,1165821,1396086,1400264
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,8,output,48769024,1048576,1301375,1301375,1400182,1404360
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-on_seed-1.json,0,9,output,49817600,657920,1405970,1405970,1405970,1408552
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-on_seed-1.json,1,0,output,10095104,524288,58086,58086,120836,122900
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-on_seed-1.json,1,1,output,10619392,524288,98822,98822,122884,124948
pubmed,paper_paper_gcn_pubmed_latency-aware_independent_sparse-on_coord-on_seed-1.json,1,2,output,11143680,213312,127883,127883,127883,128729
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,0,intermediate_write,51677568,4194304,153478,153478,1367414,1383872
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,1,intermediate_write,55871872,4194304,292406,292406,1383798,1400256
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,2,intermediate_write,60066176,4194304,429649,429649,1400182,1416640
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,3,intermediate_write,64260480,4194304,566582,566582,1416566,1433024
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,4,intermediate_write,68454784,4194304,704505,704505,1432950,1449408
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,5,intermediate_write,72649088,4194304,845848,845848,1449334,1465792
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,6,intermediate_write,76843392,4194304,981661,981661,1465718,1482176
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,7,intermediate_write,81037696,4194304,1120488,1120488,1482102,1498560
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,8,intermediate_write,85232000,4194304,1256042,1256042,1498486,1514944
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,9,intermediate_write,89426304,4194304,1377478,1377478,1514870,1531328
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,0,intermediate_read,51677568,4194304,1383872,1531328,1531328,1547724
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,1,intermediate_read,55871872,4194304,1400256,1531328,1547712,1564108
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,2,intermediate_read,60066176,4194304,1416640,1531328,1564096,1580492
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,3,intermediate_read,64260480,4194304,1433024,1531328,1580480,1596876
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,4,intermediate_read,68454784,4194304,1449408,1531328,1596864,1613260
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,5,intermediate_read,72649088,4194304,1465792,1531328,1613248,1629644
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,6,intermediate_read,76843392,4194304,1482176,1531328,1629632,1646028
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,7,intermediate_read,81037696,4194304,1498560,1531328,1646016,1662412
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,8,intermediate_read,85232000,4194304,1514944,1531328,1662400,1678796
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,9,intermediate_read,89426304,4194304,1531328,1531328,1678784,1695180
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,0,output,40380416,1048576,2130530,2130530,2130530,2134646
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,1,output,41428992,1048576,2130530,2130530,2134626,2138742
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,2,output,42477568,1048576,2130530,2130530,2138722,2142838
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,3,output,43526144,1048576,2130530,2130530,2142818,2146934
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,4,output,44574720,1048576,2130530,2130530,2146914,2151030
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,5,output,45623296,1048576,2130530,2130530,2151010,2155126
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,6,output,46671872,1048576,2130530,2130530,2155106,2159222
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,7,output,47720448,1048576,2130530,2130530,2159202,2163318
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,8,output,48769024,1048576,2130530,2130530,2163298,2167414
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,0,9,output,49817600,657920,2130530,2130530,2167394,2169976
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,1,0,intermediate_write,12304384,4194304,55682,55682,120840,137240
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,1,1,intermediate_write,16498688,4194304,96418,96418,137224,153624
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,1,2,intermediate_write,20692992,4194304,126884,126884,153608,170008
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,1,0,intermediate_read,12304384,4194304,137240,170008,170008,186404
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,1,1,intermediate_read,16498688,4194304,153624,170008,186392,202788
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,1,2,intermediate_read,20692992,4194304,170008,170008,202776,219172
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,1,0,output,10095104,524288,224913,224913,224913,226973
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,1,1,output,10619392,524288,224913,224913,226961,229021
pubmed,paper_paper_gcn_pubmed_sequential_independent_sparse-on_coord-on_seed-1.json,1,2,output,11143680,213312,224913,224913,229009,229855
